file_scenario,file_period,geo_name,ensmean,ensmax,ensmin
historical,1995,2594,21.83,23.44,19.82
historical,1995,2600,5.43,6.39,4.42
historical,1995,2601,5.43,6.3,4.47
historical,1995,2602,5.52,6.33,4.4
historical,1995,2603,5,5.97,4.02
historical,1995,2604,5,5.97,4.02
historical,1995,2605,5.23,6.18,4.25
historical,1995,2606,4.9,5.91,4
historical,1995,2607,4.37,5.52,3.52
historical,1995,2609,5.43,6.33,4.29
historical,1995,2611,1.67,2.36,1.28
historical,1995,2612,5.18,6,4.25
historical,1995,2614,5.3,6.17,4.29
historical,1995,2615,5.08,6,4.12
historical,1995,2617,5.18,6.03,4.15
historical,1995,2618,5.6,6.41,4.47
historical,1995,2619,5.43,6.47,4.37
historical,1995,2620,2.32,3.19,1.74
historical,1995,2621,1.9,2.76,1.31
historical,1995,2622,1.59,2.23,1.04
historical,1995,2623,1.1,2.07,0.69
historical,1995,2624,0.01,0.05,0
historical,1995,2625,0,0,0
historical,1995,2626,0.85,1.77,0.48
historical,1995,2627,0.49,0.91,0.29
historical,1995,2628,0.94,1.72,0.57
historical,1995,2629,0.18,0.43,0.09
historical,1995,2630,0.66,1.35,0.34
historical,1995,2631,0.45,0.98,0.16
historical,1995,2632,0.85,1.57,0.43
historical,1995,2633,0.96,1.84,0.52
historical,1995,2640,12.15,13.38,10.65
historical,1995,2641,16.72,17.94,15.31
historical,1995,2642,12.99,14.1,11.75
historical,1995,2643,21.36,23.06,20.04
historical,1995,2644,10.23,11.54,8.73
historical,1995,2645,27.94,29.85,25.93
historical,1995,2646,24.51,26.19,22.91
historical,1995,2647,22.7,24.56,21.3
historical,1995,2648,40.36,43.79,37.37
historical,1995,2649,0.99,1.96,0.62
historical,1995,2650,19.04,20.5,17.14
historical,1995,2651,22.22,23.84,20.06
historical,1995,2652,25.75,27.47,23.71
historical,1995,2653,3.18,4.17,2.41
historical,1995,2655,21.82,22.99,20.11
historical,1995,2656,24.53,25.85,22.75
historical,1995,2658,19.95,21.26,18.23
historical,1995,2659,18.78,20.19,17.1
historical,1995,2660,16.44,17.95,14.67
historical,1995,2661,21.18,22.33,19.1
historical,1995,2663,24.1,25.37,21.98
historical,1995,2665,27.93,29.31,25.73
historical,1995,2666,25.61,26.96,23.33
historical,1995,2668,28.31,29.87,25.77
historical,1995,2669,31.38,33.27,28.98
historical,1995,2671,30.25,32.04,27.93
historical,1995,2672,37.01,39.38,33.91
historical,1995,2675,41.32,44.33,38.45
historical,1995,2678,25.08,26.57,22.6
historical,1995,2680,28.54,30.42,26.38
historical,1995,2681,28.4,30.1,26.25
historical,1995,2700,27.2,28.97,25.17
historical,1995,2701,25.39,26.57,23.3
historical,1995,2702,26.75,28.24,24.73
historical,1995,2703,27.25,28.93,25.07
historical,1995,2705,27.18,28.72,25.04
historical,1995,2706,27.81,29.69,25.8
historical,1995,2707,27.23,29.14,25.22
historical,1995,2710,24.06,25.73,22.37
historical,1995,2711,34.53,37.08,32.19
historical,1995,2712,24.23,25.98,22.59
historical,1995,2713,23.22,24.83,21.73
historical,1995,2714,21.58,23.4,20.02
historical,1995,2715,37.33,40.29,34.71
historical,1995,2716,26.49,28.23,24.66
historical,1995,2717,33.15,35.93,30.92
historical,1995,2720,4.1,5.05,3.34
historical,1995,2721,30.56,32.58,28.06
historical,1995,2722,16.37,17.91,14.47
historical,1995,2725,23.56,25.04,21.34
historical,1995,2726,18.54,20.22,16.76
historical,1995,2727,13.32,14.71,11.67
historical,1995,2729,13.46,14.95,11.8
historical,1995,2730,3.31,4.28,2.65
historical,1995,2731,19.57,21.11,17.82
historical,1995,2732,23.4,25.03,21.76
historical,1995,2733,26.18,27.86,24.52
historical,1995,2734,26.43,28.23,24.83
historical,1995,2735,26.39,28.28,24.79
historical,1995,2736,27.82,29.59,26.28
historical,1995,2737,33.2,35.87,30.99
historical,1995,2738,33.17,35.91,30.94
historical,1995,2739,33.3,36.2,31.18
historical,1995,2745,10.76,12.81,9.19
historical,1995,2747,12.11,14.25,10.1
historical,1995,2748,10.66,12.86,8.78
historical,1995,2749,13.23,15.38,11.2
historical,1995,2750,12.2,14.35,10.42
historical,1995,2752,10.83,12.7,9.33
historical,1995,2753,11.5,13.12,9.77
historical,1995,2754,13.35,15.42,11.44
historical,1995,2756,9.13,10.53,7.61
historical,1995,2757,12.81,14.57,10.95
historical,1995,2758,8.01,9.22,6.67
historical,1995,2759,10.03,12.18,8.28
historical,1995,2760,11.71,13.82,9.73
historical,1995,2761,10.79,12.9,8.94
historical,1995,2762,11.85,13.9,10.08
historical,1995,2763,9.86,11.97,8.15
historical,1995,2765,12.18,14.27,10.33
historical,1995,2766,9.46,11.49,7.85
historical,1995,2767,8.98,11.05,7.25
historical,1995,2768,9.86,11.97,8.15
historical,1995,2769,10.74,12.9,9.05
historical,1995,2770,10.8,12.9,8.9
historical,1995,2773,11.58,13.85,9.8
historical,1995,2774,11.34,13.2,9.61
historical,1995,2775,6.68,7.71,5.53
historical,1995,2776,6.57,7.33,5.45
historical,1995,2777,11.1,12.55,9.42
historical,1995,2778,4.28,4.88,3.7
historical,1995,2779,4.28,4.88,3.7
historical,1995,2780,2.64,3.13,2.22
historical,1995,2782,3.15,3.7,2.7
historical,1995,2783,3.37,3.88,2.85
historical,1995,2784,3.71,4.29,3.2
historical,1995,2785,3.02,3.49,2.52
historical,1995,2786,1.39,1.92,0.97
historical,1995,2787,3.98,4.74,3.31
historical,1995,2790,2.23,2.76,1.74
historical,1995,2791,5.23,6.37,4.26
historical,1995,2792,11.77,13.17,10.21
historical,1995,2793,14.64,16.06,12.94
historical,1995,2794,19.57,21.19,17.7
historical,1995,2795,3.71,4.52,2.97
historical,1995,2797,8.78,9.99,7.39
historical,1995,2798,3.46,4.43,2.78
historical,1995,2799,4.47,5.49,3.58
historical,1995,2800,9.29,10.44,7.95
historical,1995,2803,15.9,17.27,14.12
historical,1995,2804,24.34,26.38,22.22
historical,1995,2805,26.87,28.98,24.77
historical,1995,2806,26.81,28.96,24.58
historical,1995,2807,18.08,19.71,16.2
historical,1995,2808,14.41,15.97,12.79
historical,1995,2809,19.01,20.41,17.12
historical,1995,2810,26.73,28.6,24.51
historical,1995,2817,20.46,22.58,18.29
historical,1995,2818,22.52,24.12,20.58
historical,1995,2820,17.45,19.14,15.31
historical,1995,2821,34.28,36.6,32.6
historical,1995,2822,26.77,28.95,24.78
historical,1995,2823,38.27,40.64,36.74
historical,1995,2824,44.88,47.27,43.06
historical,1995,2825,44.99,47.68,43.05
historical,1995,2826,41.97,44.48,40.26
historical,1995,2827,30.87,33.54,28.87
historical,1995,2828,31.99,34.64,29.9
historical,1995,2829,46.7,49.34,44.64
historical,1995,2830,25.57,27.59,23.61
historical,1995,2831,48.87,51.65,46.65
historical,1995,2832,59.86,62.93,57.56
historical,1995,2833,58.92,61.91,56.18
historical,1995,2834,63.13,66.34,60.66
historical,1995,2835,52.79,56.53,50.03
historical,1995,2836,69.11,74.24,64.9
historical,1995,2838,66.39,69.82,64.21
historical,1995,2839,64.45,67.61,62.45
historical,1995,2840,75.73,80.06,72.48
historical,1995,2842,17.63,19.64,15.24
historical,1995,2843,7.8,8.92,6.66
historical,1995,2844,16.22,17.9,14.17
historical,1995,2845,0.82,1.31,0.59
historical,1995,2846,4.97,5.69,4.07
historical,1995,2847,1,1.52,0.73
historical,1995,2848,4.24,4.76,3.56
historical,1995,2849,6.02,6.86,5.06
historical,1995,2850,7.8,8.89,6.53
historical,1995,2852,14.06,15.71,12
historical,1995,2864,19.49,21.1,17.46
historical,1995,2865,16.01,17.37,14.08
historical,1995,2866,12.84,14.34,10.99
historical,1995,2867,16.34,17.81,14.25
historical,1995,2868,18.76,20.38,16.57
historical,1995,2869,29.96,31.82,28.19
historical,1995,2870,25.38,27.1,23.64
historical,1995,2871,31.78,33.97,29.51
historical,1995,2873,38.38,40.5,36.53
historical,1995,2874,34.83,36.58,33.03
historical,1995,2875,32.01,33.79,30.21
historical,1995,2876,30.88,32.88,29.06
historical,1995,2877,36.07,38.38,33.43
historical,1995,2878,51.11,55.37,47.67
historical,1995,2879,52.14,56.7,48.31
historical,1995,2880,62.16,66.88,58.23
historical,1995,2900,2.78,3.98,2.16
historical,1995,2902,4.37,5.52,3.52
historical,1995,2903,4.37,5.52,3.52
