file_grid,file_scenario,file_period,geo_name,cent_lat,cent_long,ensmean,ensmax,ensmin
AUS-44,rcp45,2050,5540,-33.2136088,138.0277155,45.38,49.65,41.35
AUS-44,rcp45,2050,5550,-34.1313291,138.2074719,38.83,42.95,35.48
AUS-44,rcp45,2050,5552,-34.0916078,137.9239572,35.33,39.2,32.43
AUS-44,rcp45,2050,5554,-33.9823386,137.7776374,35.33,39.2,32.43
AUS-44,rcp45,2050,5555,-33.7191983,137.9723053,44.74,49.35,40.88
AUS-44,rcp45,2050,5558,-34.1214805,137.6167927,31.81,35.3,29.15
AUS-44,rcp45,2050,5560,-33.8868834,138.0097014,38.86,43.1,35.7
AUS-44,rcp45,2050,5571,-34.4518479,137.8377615,31.81,35.3,29.15
AUS-44,rcp45,2050,5572,-34.2347483,137.776859,31.81,35.3,29.15
AUS-44,rcp45,2050,5573,-34.4093013,137.61566439999999,31.81,35.3,29.15
AUS-44,rcp45,2050,5600,-33.0336642,137.5677669,46.16,50.1,42.5
AUS-44,rcp45,2050,5601,-33.0341443,137.4980244,42.65,46.37,38.98
AUS-44,rcp45,2050,5602,-33.5245065,136.9048571,34.98,38.57,31.62
AUS-44,rcp45,2050,5603,-33.8779566,136.2253163,29.02,32.08,26.38
AUS-44,rcp45,2050,5605,-34.251647,136.1087031,16.39,19.1,14.38
AUS-44,rcp45,2050,5606,-34.8312322,135.995473,12.02,14.45,10
AUS-44,rcp45,2050,5607,-34.247567600000004,135.648132,27.15,30.18,24.41
AUS-44,rcp45,2050,5608,-33.044735,137.5316869,46.16,50.1,42.5
AUS-44,rcp45,2050,5609,-33.0271594,137.5081428,46.16,50.1,42.5
AUS-44,rcp45,2050,5611,-32.9713035,137.0942122,47.68,51.66,43.92
AUS-44,rcp45,2050,5630,-34.4199458,135.6694818,12.02,14.45,10
AUS-44,rcp45,2050,5631,-34.2598272,135.6939747,17.62,20.37,15.37
AUS-44,rcp45,2050,5632,-34.0642169,135.604604,20.42,23.32,18.05
AUS-44,rcp45,2050,5633,-33.5348143,135.7751699,44.93,48.66,41.74
AUS-44,rcp45,2050,5640,-33.5662022,136.445626,39.07,42.82,35.77
AUS-44,rcp45,2050,5641,-32.9938866,136.1421202,51.29,55.67,47.72
AUS-44,rcp45,2050,5642,-33.5500641,136.118478,41.99,45.79,38.76
AUS-44,rcp45,2050,5650,-33.242736,135.7126248,53.55,58.1,49.9
AUS-44,rcp45,2050,5651,-33.1244028,135.6358739,57.33,62.1,53.8
AUS-44,rcp45,2050,5652,-33.0186015,135.452542,52.88,57.28,49.22
AUS-44,rcp45,2050,5653,-32.9362747,135.2767439,53.43,58.05,49.56
AUS-44,rcp45,2050,5654,-32.9853871,135.0659659,51.74,56.4,47.82
AUS-44,rcp45,2050,5655,-32.5973918,135.2839839,55.63,60.7,51.33
AUS-44,rcp45,2050,5660,-32.598645,134.6064717,42.47,47.4,37.9
AUS-44,rcp45,2050,5661,-32.3777312,134.6612904,52.69,57.89,48.14
AUS-44,rcp45,2050,5670,-33.5155584,135.1963197,39.68,43.37,36.45
AUS-44,rcp45,2050,5671,-33.0600584,134.5713829,41.97,46.26,38
AUS-44,rcp45,2050,5680,-32.410447,134.3395939,48.01,52.81,43.56
AUS-44,rcp45,2050,5690,-29.9953802,131.5246296,67.28,72.38,62.59
AUS-44,rcp45,2050,5700,-32.5995844,137.7475695,51.12,55.27,47.06
